Date,Price,Open,High,Low,Vol,Change %
"Mar 06, 2025",76.81,77.7,77.7,77.2,0.04K,-2.19%
"Mar 05, 2025",78.53,80,80,78.75,0.02K,-1.52%
"Mar 04, 2025",79.74,80,80,79.05,0.03K,-2.76%
"Mar 03, 2025",82,83.75,83.75,82.5,0.02K,+0.42%
"Feb 28, 2025",81.66,82,82,82,0.02K,-1.66%
"Feb 27, 2025",83.04,82,82,82,0.03K,+4.15%
"Feb 26, 2025",79.73,80.75,80.75,80.75,0.04K,-2.39%
"Feb 25, 2025",81.68,83.75,83.75,81.49,0.01K,-3.91%
"Feb 24, 2025",85,83,83.25,83,0.03K,+0.65%
"Feb 21, 2025",84.45,84.5,84.5,84.5,0.01K,+0.36%
"Feb 20, 2025",84.15,84,84,84,0.04K,-0.85%
"Feb 19, 2025",84.87,84.6,84.84,84.6,0.07K,+0.41%
"Feb 18, 2025",84.52,84.52,84.52,84.52,0.00K,-1.15%
"Feb 17, 2025",85.5,85.5,85.5,85.5,0.02K,-4.44%
"Feb 14, 2025",89.47,89.7,89.7,89.4,0.02K,+0.06%
"Feb 13, 2025",89.42,89.42,89.42,89.42,0.01K,-5.72%
"Feb 12, 2025",94.85,94,94,94,0.00K,-1.64%
"Feb 11, 2025",96.43,95.75,95.75,95.75,0.00K,-0.28%
"Feb 10, 2025",96.7,97.19,97.19,97.19,0.00K,+1.99%
"Feb 07, 2025",94.81,94.4,94.6,94.4,0.01K,+0.55%
"Feb 06, 2025",94.29,94.25,95,94.25,0.00K,+0.91%
"Feb 05, 2025",93.44,94.3,94.3,94.3,0.02K,+1.81%
"Feb 04, 2025",91.78,91.5,91.5,91.5,0.01K,-0.22%
"Feb 03, 2025",91.98,93.5,94,92,0.04K,-1.88%
"Jan 31, 2025",93.74,92,92,92,0.02K,+3.19%
"Jan 30, 2025",90.84,91,91.85,91,0.01K,-0.21%
"Jan 29, 2025",91.03,90,90,90,0.01K,+2.93%
"Jan 28, 2025",88.44,88.44,88.44,88.44,0.02K,+1.03%
"Jan 27, 2025",87.54,87.54,87.54,87.54,0.03K,-2.52%
"Jan 24, 2025",89.8,89.8,89.8,89.8,0.01K,+1.05%
"Jan 23, 2025",88.87,89.6,89.6,89.6,0.00K,+0.44%
"Jan 22, 2025",88.48,90.15,90.15,90.15,0.00K,-2.95%
"Jan 21, 2025",91.17,91.45,91.45,89.9,0.01K,+0.63%
"Jan 20, 2025",90.6,90.25,90.25,90.25,0.01K,-0.21%
"Jan 17, 2025",90.79,89.8,90.79,89.8,0.01K,+1.31%
"Jan 16, 2025",89.62,89,89,89,0.01K,-0.08%
"Jan 15, 2025",89.69,89.69,89.69,89.69,0.02K,+1.15%
